skill:skillA
questionId	mastery
1	0.000722
2	0.183248
3	0.267460
4	0.312099
5	0.337507
6	0.352557
7	0.787915
8	0.993815
9	0.998497
10	0.999636
11	0.999912
12	0.999979
13	0.999995
14	0.999999
15	1.000000
16	1.000000
17	1.000000
18	0.977290
19	0.975139
20	0.961404
21	0.940833
22	0.910966
23	0.869509
24	0.815417
25	0.750263
26	0.678939
27	0.608582
skill:skillB
questionId	mastery
1	0.000689
2	0.179163
3	0.260072
4	0.302185
5	0.325682
6	0.339304
7	0.783893
8	0.993244
9	0.987875
10	0.997080
11	0.999299
12	0.999832
13	0.999960
14	0.979978
15	0.995162
16	1.000000
17	1.000000
18	0.968444
19	0.992339
20	0.987582
